Area Code,State
201,New Jersey
202,District of Columbia
203,Connecticut
205,Alabama
206,Washington
207,Maine
208,Idaho
209,California
210,Texas
211,--
212,New York
213,California
214,Texas
215,Pennsylvania
216,Ohio
217,Illinois
218,Minnesota
219,Indiana
220,Ohio
223,Pennsylvania
224,Illinois
225,Louisiana
226,--
228,Mississippi
229,Georgia
231,Michigan
234,Ohio
236,--
239,Florida
240,Maryland
242,--
246,--
248,Michigan
250,--
251,Alabama
252,North Carolina
253,Washington
254,Texas
256,Alabama
260,Indiana
262,Wisconsin
264,--
267,Pennsylvania
268,--
269,Michigan
270,Kentucky
272,Pennsylvania
276,Virginia
278,Michigan
281,Texas
283,Ohio
284,--
289,--
301,Maryland
302,Delaware
303,Colorado
304,West Virginia
305,Florida
306,--
307,Wyoming
308,Nebraska
309,Illinois
310,California
311,--
312,Illinois
313,Michigan
314,Missouri
315,New York
316,Kansas
317,Indiana
318,Louisiana
319,Iowa
320,Minnesota
321,Florida
323,California
325,Texas
330,Ohio
331,Illinois
332,New York
334,Alabama
336,North Carolina
337,Louisiana
339,Massachusetts
341,California
345,--
346,Texas
347,New York
351,Massachusetts
352,Florida
360,Washington
361,Texas
369,California
380,Ohio
385,Utah
386,Florida
401,Rhode Island
402,Nebraska
403,--
404,Georgia
405,Oklahoma
406,Montana
407,Florida
408,California
409,Texas
410,Maryland
411,--
412,Pennsylvania
413,Massachusetts
414,Wisconsin
415,California
416,--
417,Missouri
418,--
419,Ohio
423,Tennessee
424,California
425,Washington
430,Texas
431,--
432,Texas
434,Virginia
435,Utah
437,--
438,--
440,Ohio
441,--
442,California
443,Maryland
450,--
456,--
458,Oregon
464,Illinois
469,Texas
470,Georgia
473,--
475,Connecticut
478,Georgia
479,Arkansas
480,Arizona
481,--
484,Pennsylvania
500,--
501,Arkansas
502,Kentucky
503,Oregon
504,Louisiana
505,New Mexico
506,--
507,Minnesota
508,Massachusetts
509,Washington
510,California
511,--
512,Texas
513,Ohio
514,--
515,Iowa
516,New York
517,Michigan
518,New York
519,--
520,Arizona
530,California
539,Oklahoma
540,Virginia
541,Oregon
548,--
551,New Jersey
555,--
557,Missouri
559,California
561,Florida
562,California
563,Iowa
564,Washington
567,Ohio
570,Pennsylvania
571,Virginia
573,Missouri
574,Indiana
575,New Mexico
579,--
580,Oklahoma
581,--
585,New York
586,Michigan
587,--
600,--
601,Mississippi
602,Arizona
603,New Hampshire
604,--
605,South Dakota
606,Kentucky
607,New York
608,Wisconsin
609,New Jersey
610,Pennsylvania
611,--
612,Minnesota
613,--
614,Ohio
615,Tennessee
616,Michigan
617,Massachusetts
618,Illinois
619,California
620,Kansas
623,Arizona
626,California
627,California
628,California
629,Tennessee
630,Illinois
631,New York
636,Missouri
639,--
641,Iowa
646,New York
647,--
649,--
650,California
651,Minnesota
657,California
660,Missouri
661,California
662,Mississippi
664,--
667,Maryland
669,California
670,--
671,--
678,Georgia
679,Michigan
681,West Virginia
682,Texas
684,--
689,Florida
700,--
701,North Dakota
702,Nevada
703,Virginia
704,North Carolina
705,--
706,Georgia
707,California
708,Illinois
709,--
710,--
711,--
712,Iowa
713,Texas
714,California
715,Wisconsin
716,New York
717,Pennsylvania
718,New York
719,Colorado
720,Colorado
721,--
724,Pennsylvania
725,Nevada
727,Florida
731,Tennessee
732,New Jersey
734,Michigan
737,Texas
740,Ohio
743,North Carolina
747,California
754,Florida
757,Virginia
758,--
760,California
762,Georgia
763,Minnesota
764,California
765,Indiana
767,--
769,Mississippi
770,Georgia
772,Florida
773,Illinois
774,Massachusetts
775,Nevada
778,--
779,Illinois
780,--
781,Massachusetts
782,--
784,--
785,Kansas
786,Florida
787,--
800,--
801,Utah
802,Vermont
803,South Carolina
804,Virginia
805,California
806,Texas
807,--
808,Hawaii
809,--
810,Michigan
811,--
812,Indiana
813,Florida
814,Pennsylvania
815,Illinois
816,Missouri
817,Texas
818,California
819,--
822,--
825,--
828,North Carolina
829,--
830,Texas
831,California
832,Texas
833,--
835,Pennsylvania
843,South Carolina
844,--
845,New York
847,Illinois
848,New Jersey
849,--
850,Florida
855,--
856,New Jersey
857,Massachusetts
858,California
859,Kentucky
860,Connecticut
862,New Jersey
863,Florida
864,South Carolina
865,Tennessee
866,--
867,--
868,--
869,--
870,Arkansas
872,Illinois
873,--
876,--
877,--
878,Pennsylvania
880,--
881,--
882,--
888,--
898,--
900,--
901,Tennessee
902,--
903,Texas
904,Florida
905,--
906,Michigan
907,Alaska
908,New Jersey
909,California
910,North Carolina
911,--
912,Georgia
913,Kansas
914,New York
915,Texas
916,California
917,New York
918,Oklahoma
919,North Carolina
920,Wisconsin
925,California
927,Florida
928,Arizona
929,New York
931,Tennessee
935,California
936,Texas
937,Ohio
939,--
940,Texas
941,Florida
947,Michigan
949,California
951,California
952,Minnesota
954,Florida
956,Texas
957,New Mexico
959,Connecticut
970,Colorado
971,Oregon
972,Texas
973,New Jersey
975,Missouri
976,--
978,Massachusetts
979,Texas
980,North Carolina
984,North Carolina
985,Louisiana
989,Michigan
999,--
